iter	Passed	Remaining
405	7930	26622
406	7949	26601
407	7970	26587
408	7990	26570
409	8014	26564
410	8040	26565
411	8062	26555
412	8085	26547
413	8110	26546
414	8136	26546
415	8157	26533
416	8182	26527
417	8193	26483
418	8213	26465
419	8237	26457
420	8260	26447
421	8280	26431
422	8305	26429
423	8329	26422
424	8348	26400
425	8367	26380
426	8390	26370
427	8413	26360
428	8438	26356
429	8460	26344
430	8480	26325
431	8500	26307
432	8522	26296
433	8544	26281
434	8554	26234
435	8573	26211
436	8589	26180
437	8612	26172
438	8636	26166
439	8661	26161
440	8681	26143
441	8703	26129
442	8717	26094
443	8741	26086
444	8762	26072
445	8783	26054
446	8810	26056
447	8831	26041
448	8854	26030
449	8875	26015
450	8896	26000
451	8915	25976
452	8939	25968
453	8964	25965
454	8981	25939
455	9003	25923
456	9024	25908
457	9045	25892
458	9068	25880
459	9094	25880
460	9120	25876
461	9145	25871
462	9175	25880
463	9195	25862
464	9222	25863
465	9243	25845
466	9265	25831
467	9288	25822
468	9307	25799
469	9330	25787
470	9352	25772
471	9371	25752
472	9394	25740
473	9414	25720
474	9428	25686
475	9445	25658
476	9466	25642
477	9487	25624
478	9510	25613
479	9531	25595
480	9548	25569
481	9569	25550
482	9586	25523
483	9607	25508
484	9625	25481
485	9643	25459
486	9667	25448
487	9682	25415
488	9703	25399
489	9726	25387
490	9743	25360
491	9760	25332
492	9781	25316
493	9804	25304
494	9830	25300
495	9848	25275
496	9871	25264
497	9895	25254
498	9919	25244
499	9944	25239
500	9968	25229
501	9992	25220
502	10018	25215
503	10036	25191
504	10051	25157
505	10074	25145
506	10097	25135
507	10121	25124
508	10140	25102
509	10163	25090
510	10186	25077
511	10208	25062
512	10237	25063
513	10256	25042
514	10276	25023
515	10301	25014
516	10327	25009
517	10344	24983
518	10362	24958
519	10376	24922
520	10400	24912
521	10416	24883
522	10430	24848
523	10449	24827
524	10466	24800
525	10483	24773
526	10502	24750
527	10521	24728
528	10541	24708
529	10563	24694
530	10583	24675
531	10601	24650
532	10616	24619
533	10635	24597
534	10656	24579
535	10680	24568
536	10701	24551
537	10725	24540
538	10748	24528
539	10774	24521
540	10798	24511
541	10819	24493
542	10839	24473
543	10864	24464
544	10887	24452
545	10902	24421
546	10925	24408
547	10943	24384
548	10965	24368
549	10986	24349
550	11003	24323
551	11028	24315
552	11050	24298
553	11070	24279
554	11092	24264
555	11116	24251
556	11142	24245
557	11162	24224
558	11192	24226
559	11219	24221
560	11238	24199
561	11258	24180
562	11278	24159
563	11297	24137
564	11322	24127
565	11345	24113
566	11365	24093
567	11388	24080
568	11411	24065
569	11427	24038
570	11449	24021
571	11471	24005
572	11489	23981
573	11512	23968
574	11534	23951
575	11559	23942
