iter	Logloss
226	0.2683006069
227	0.2682973865
228	0.2682942088
229	0.2682868304
230	0.2682802424
231	0.2682723292
232	0.2682656715
233	0.2682615947
234	0.2682550882
235	0.268246613
236	0.2682403816
237	0.2682315693
238	0.2682236638
239	0.2682063027
240	0.2681983856
241	0.2681918907
242	0.2681618265
243	0.2681380363
244	0.2680965014
245	0.2680851353
246	0.26808064
247	0.26807623
248	0.2680712232
249	0.2680606476
250	0.2680561872
251	0.2680466696
252	0.2680381402
253	0.2680281421
254	0.2680220463
255	0.2680149468
256	0.2680103469
257	0.2679969231
258	0.2679910676
259	0.2679853089
260	0.2679786861
261	0.2679618249
262	0.2679491141
263	0.2679302882
264	0.2679209759
265	0.2679133882
266	0.267905816
267	0.2678977593
268	0.2678915822
269	0.2678817856
270	0.2678715317
271	0.267868943
272	0.2678651259
273	0.2678567515
274	0.2678472145
275	0.2678357709
276	0.2678286443
277	0.2678190492
278	0.267815701
279	0.2677923603
280	0.2677877798
281	0.2677820328
282	0.2677776964
283	0.2677745574
284	0.2677703683
285	0.2677560686
286	0.2677516044
287	0.2677245667
288	0.2677208426
289	0.2677173239
290	0.2677124992
291	0.2677058338
292	0.2677017493
293	0.267697719
294	0.2676964286
295	0.2676913442
296	0.2676874729
297	0.2676805827
298	0.2676756107
299	0.2676709139
300	0.2676676626
301	0.2676621791
302	0.2676550487
303	0.2676387378
304	0.2676303595
305	0.2676141183
306	0.2676047557
307	0.2675974819
308	0.2675912272
309	0.2675871117
310	0.2675829807
311	0.2675783846
312	0.2675744125
313	0.2675686035
314	0.2675653173
315	0.2675551797
316	0.2675523895
317	0.2675469796
318	0.2675416783
319	0.2675370745
320	0.2675307501
321	0.2675202637
322	0.2675161133
323	0.267512486
324	0.2675068514
325	0.2674972641
326	0.2674929587
327	0.2674891183
328	0.2674847393
329	0.2674779653
330	0.2674709356
331	0.2674302959
332	0.267423925
333	0.2674125357
334	0.2673903537
335	0.2673856337
336	0.2673657033
337	0.2673607352
338	0.2673567205
339	0.2673545503
340	0.2673491443
341	0.2673444127
342	0.267334089
343	0.2673286017
344	0.2673234204
345	0.2673176308
346	0.2673124031
347	0.267302808
348	0.2672991691
349	0.2672941623
350	0.2672866056
351	0.2672827458
352	0.2672772701
353	0.2672724687
354	0.267269663
355	0.2672663419
356	0.2672595021
357	0.2672574405
358	0.2672347238
359	0.2672308718
360	0.2672274034
361	0.267224404
362	0.2672191104
363	0.2672147546
364	0.2672106391
365	0.2672054075
366	0.2672009587
367	0.2671957698
368	0.2671900615
369	0.2671831403
370	0.2671797921
371	0.2671751496
372	0.2671706543
373	0.2671667984
374	0.2671631906
375	0.2671605632
376	0.2671560911
377	0.2671511075
378	0.2671490847
379	0.2671431207
380	0.2671390478
381	0.2671348935
382	0.2671296697
383	0.2671251473
384	0.26711301
385	0.2671078094
386	0.2670975516
387	0.2670958271
388	0.2670934865
389	0.2670872551
390	0.2670830659
391	0.2670809694
392	0.267074955
393	0.2670721261
394	0.2670666814
395	0.2670644299
396	0.2670637943
397	0.267058958
398	0.267056133
399	0.2670516997
400	0.2670460418
401	0.2670330055
402	0.2670229647
403	0.2670211434
404	0.2670165744
405	0.2670096029
406	0.2670064135
407	0.2670028406
408	0.266998663
409	0.2669893508
410	0.2669868629
411	0.2669832473
412	0.2669794341
413	0.2669781359
414	0.2669738576
415	0.2669708271
416	0.2669567367
417	0.2669525553
418	0.2669490986
419	0.2669426735
420	0.2669387013
421	0.2669353725
422	0.2669321444
423	0.266929455
424	0.2669255449
425	0.2669201466
426	0.2669170891
427	0.2669131479
428	0.2669111793
429	0.2669082031
430	0.266902491
431	0.2668978678
432	0.2668908033
433	0.2668871954
434	0.2668847889
435	0.2668795069
436	0.2668760037
437	0.2668726051
438	0.2668690089
439	0.2668547906
440	0.2668513494
441	0.2668475826
442	0.2668408164
443	0.266837817
444	0.2668329923
445	0.2668311051
446	0.2668265245
447	0.266822037
448	0.2668181346
449	0.2668149918
450	0.266812996
451	0.2668094502
452	0.2668080706
453	0.2668038931
454	0.2668000721
455	0.2667936198
456	0.2667904925
457	0.2667820638
458	0.2667784249
459	0.2667750147
460	0.2667711821
461	0.2667671441
462	0.2667642493
463	0.2667642725
464	0.2667613739
465	0.2667592541
466	0.2667563903
467	0.2667470858
468	0.2667452954
469	0.2667423735
470	0.2667347742
471	0.2667273569
472	0.26672316
473	0.2667217029
474	0.2667185679
475	0.2667137238
476	0.2667110305
477	0.2667070584
478	0.2667040551
479	0.2667027375
480	0.2666999512
481	0.2666912202
482	0.2666871086
483	0.26668371
484	0.2666808036
485	0.2666766183
486	0.2666717975
487	0.2666675851
488	0.2666639695
489	0.2666606019
490	0.2666567732
491	0.2666523554
492	0.2666499721
493	0.2666487824
494	0.2666449847
495	0.2666414582
496	0.2666360987
497	0.2666336418
498	0.2666310919
499	0.2666247791
500	0.2666214464
501	0.2666187298
502	0.2666121148
503	0.2666079489
504	0.2666015121
505	0.2665944398
506	0.266591607
507	0.2665876504
508	0.2665844378
509	0.2665817135
510	0.2665796441
511	0.2665764121
512	0.2665731414
513	0.2665688903
514	0.2665653289
515	0.2665611165
516	0.2665575746
517	0.2665542845
518	0.2665510758
519	0.2665494443
520	0.2665464332
521	0.2665451738
522	0.2665359739
523	0.266531343
524	0.2665280568
525	0.2665254178
526	0.2665224687
527	0.266517024
528	0.2665141834
529	0.2665109011
530	0.2665086457
531	0.2665053207
532	0.2665031932
533	0.2664965278
534	0.2664933539
535	0.2664894826
536	0.2664848323
537	0.2664834643
538	0.2664811818
539	0.2664781669
540	0.2664755666
541	0.266462879
542	0.2664581047
543	0.2664508115
544	0.2664472191
545	0.2664436733
546	0.2664408133
547	0.2664375814
548	0.2664324544
549	0.2664262075
550	0.2664225183
551	0.2664177362
552	0.2664153491
553	0.2664114157
554	0.2664102376
555	0.2664056145
556	0.2664024678
557	0.2663994179
558	0.2663971122
559	0.2663941205
560	0.2663911482
561	0.2663873892
562	0.2663839324
563	0.2663822738
564	0.2663782203
565	0.2663768175
566	0.2663709891
567	0.2663680246
568	0.2663679315
569	0.2663642578
570	0.2663618009
571	0.2663570964
572	0.2663538101
573	0.2663494272
574	0.2663468928
575	0.2663444204
576	0.2663374527
577	0.2663350849
578	0.2663316941
579	0.2663276871
580	0.2663244125
581	0.2663243699
582	0.2663207194
583	0.2663194793
584	0.2663161815
585	0.2663138098
586	0.2663109189
587	0.2663085434
588	0.266306753
589	0.2663030521
590	0.2663002852
591	0.2662984445
592	0.2662961271
593	0.2662942825
594	0.2662919457
595	0.2662816918
596	0.2662811841
597	0.2662764951
598	0.2662734608
599	0.2662715503
600	0.266267768
601	0.2662634704
602	0.2662582233
603	0.2662540186
604	0.2662511626
605	0.2662488297
606	0.2662469657
607	0.2662430749
608	0.2662397732
609	0.2662370218
610	0.2662340262
611	0.2662306664
612	0.2662280506
613	0.2662232647
614	0.2662213387
615	0.2662187345
616	0.2662160838
617	0.266211356
618	0.2662075428
619	0.2662042178
620	0.2662022376
621	0.2661992808
622	0.2661957504
623	0.2661932857
624	0.2661904839
625	0.2661870117
626	0.2661836519
627	0.2661815089
628	0.2661797301
629	0.2661763393
630	0.2661737002
631	0.2661702319
632	0.2661685229
633	0.2661642175
634	0.2661624039
635	0.2661592146
636	0.2661578544
637	0.2661518981
638	0.2661495381
639	0.2661461356
640	0.2661427331
641	0.266140966
642	0.2661338743
643	0.2661312353
644	0.2661304563
645	0.2661284528
646	0.2661260424
647	0.2661215123
648	0.2661181718
649	0.2661163001
650	0.2661104639
651	0.2661073327
652	0.2661023569
653	0.2660974276
654	0.266094308
655	0.2660887548
656	0.266085209
657	0.2660803533
658	0.2660777956
659	0.2660758541
660	0.2660722889
661	0.2660691499
662	0.2660656234
663	0.2660615428
664	0.2660581868
665	0.2660535676
666	0.2660523779
667	0.2660495334
668	0.2660459527
669	0.2660431509
670	0.2660403065
671	0.2660371326
672	0.2660341293
673	0.2660315794
674	0.2660277817
675	0.2660255379
676	0.2660230926
677	0.2660204109
678	0.2660177293
679	0.266014412
680	0.2660116102
681	0.2660091107
682	0.2660045573
683	0.2660045263
684	0.2659977989
685	0.2659946522
686	0.2659913543
687	0.2659861731
688	0.2659828714
689	0.2659806044
690	0.2659783257
691	0.2659761517
692	0.2659732763
693	0.2659682617
694	0.2659664249
695	0.2659650143
696	0.2659598059
697	0.2659567561
698	0.2659517144
699	0.2659412512
700	0.2659386703
701	0.2659362483
702	0.2659335162
703	0.2659315476
704	0.2659302107
705	0.2659288504
706	0.2659268392
707	0.2659253898
708	0.2659215534
709	0.2659199374
710	0.265916407
711	0.2659141555
712	0.2659035024
713	0.2659023825
714	0.2658991273
715	0.2658972866
716	0.2658946475
717	0.2658922449
718	0.26588904
719	0.2658879588
720	0.2658849865
721	0.265884134
722	0.2658799681
723	0.265877267
724	0.2658749845
725	0.2658732213
726	0.2658705086
727	0.2658687415
728	0.2658657808
729	0.2658631495
730	0.2658603826
731	0.2658581117
732	0.265855089
733	0.2658526282
