iter	Passed	Remaining
157	3677	7959
158	3702	7941
159	3724	7914
160	3744	7885
161	3765	7856
162	3786	7828
163	3810	7806
164	3832	7780
165	3854	7754
166	3875	7726
167	3901	7709
168	3923	7684
169	3949	7666
170	3968	7635
171	3990	7609
172	4014	7588
173	4038	7565
174	4063	7545
175	4084	7519
176	4108	7498
177	4129	7470
178	4149	7440
179	4168	7411
180	4194	7393
181	4218	7371
182	4242	7349
183	4263	7322
184	4287	7300
185	4312	7279
186	4336	7258
187	4359	7234
188	4382	7210
189	4403	7183
190	4424	7158
191	4446	7133
192	4466	7104
193	4489	7082
194	4520	7069
195	4544	7048
196	4564	7020
197	4588	6997
198	4612	6977
199	4632	6949
200	4653	6921
201	4683	6909
202	4705	6885
203	4731	6864
204	4766	6858
205	4785	6829
206	4806	6803
207	4826	6776
208	4846	6747
209	4868	6722
210	4889	6697
211	4905	6663
212	4925	6637
213	4947	6611
214	4969	6587
215	4994	6566
216	5017	6543
217	5039	6519
218	5060	6493
219	5081	6466
220	5109	6450
221	5129	6423
222	5156	6405
223	5179	6382
224	5203	6359
225	5226	6335
226	5246	6309
227	5270	6287
228	5293	6264
229	5312	6236
230	5335	6212
231	5364	6197
232	5388	6174
233	5409	6149
234	5430	6123
235	5452	6099
236	5473	6074
237	5499	6054
238	5522	6030
239	5547	6009
240	5567	5983
241	5589	5959
242	5615	5939
243	5635	5912
244	5655	5886
245	5680	5865
246	5704	5842
247	5724	5817
248	5746	5793
249	5770	5770
250	5791	5745
251	5813	5721
252	5832	5693
253	5854	5669
254	5876	5645
255	5902	5626
256	5923	5600
257	5941	5573
258	5962	5547
259	5984	5523
260	6005	5499
261	6023	5471
262	6046	5448
263	6066	5422
264	6088	5399
265	6112	5377
266	6135	5354
267	6157	5330
268	6180	5307
269	6202	5283
270	6222	5257
271	6241	5231
272	6267	5211
273	6289	5187
274	6310	5163
275	6331	5138
276	6361	5120
277	6382	5096
278	6401	5070
279	6422	5045
280	6441	5020
281	6462	4996
282	6485	4973
283	6509	4950
284	6531	4927
285	6554	4904
286	6576	4881
287	6596	4856
288	6620	4833
289	6638	4807
290	6657	4781
291	6680	4758
292	6702	4734
293	6720	4709
294	6740	4683
295	6760	4659
296	6786	4638
297	6808	4615
298	6838	4596
299	6874	4583
300	6897	4560
301	6915	4533
302	6934	4508
303	6955	4484
304	6977	4460
305	7000	4438
306	7018	4412
307	7040	4388
308	7060	4364
309	7083	4341
310	7110	4321
311	7134	4298
312	7157	4276
313	7178	4252
314	7197	4227
315	7219	4203
316	7241	4180
317	7266	4158
318	7289	4136
319	7310	4112
320	7332	4088
321	7355	4065
322	7378	4043
323	7400	4019
324	7418	3994
325	7437	3969
326	7456	3944
327	7478	3921
328	7500	3898
329	7519	3873
330	7545	3852
331	7567	3829
332	7586	3804
333	7610	3782
334	7629	3757
335	7646	3732
336	7673	3711
337	7695	3688
338	7714	3663
339	7739	3641
340	7759	3618
341	7789	3598
342	7808	3574
343	7829	3550
344	7849	3526
345	7874	3504
346	7897	3482
347	7915	3457
348	7934	3432
349	7954	3408
350	7974	3385
351	7994	3361
352	8013	3337
353	8035	3314
354	8058	3291
355	8084	3270
356	8104	3246
357	8127	3223
358	8151	3201
359	8173	3178
360	8199	3157
361	8225	3135
362	8252	3114
363	8284	3095
364	8320	3077
365	8355	3058
366	8396	3042
367	8434	3025
368	8465	3005
369	8498	2986
370	8528	2965
371	8564	2946
372	8596	2926
373	8623	2905
374	8647	2882
375	8671	2859
376	8704	2839
377	8727	2816
378	8749	2793
379	8773	2770
380	8800	2748
381	8823	2725
382	8846	2702
383	8872	2680
384	8907	2660
385	8936	2639
386	8977	2621
387	9008	2600
388	9039	2579
389	9075	2559
390	9104	2538
391	9142	2518
392	9174	2497
393	9221	2480
394	9247	2458
395	9284	2438
396	9319	2417
397	9343	2394
398	9379	2374
399	9407	2351
400	9434	2329
401	9459	2306
402	9491	2284
403	9526	2263
404	9579	2247
405	9601	2222
406	9621	2198
407	9643	2174
408	9666	2150
409	9684	2125
410	9702	2101
411	9722	2076
412	9741	2052
413	9763	2028
414	9785	2004
415	9804	1979
416	9823	1955
417	9846	1931
418	9868	1907
419	9886	1883
420	9910	1859
421	9928	1835
422	9950	1811
423	9969	1786
424	9993	1763
425	10014	1739
426	10034	1715
427	10059	1692
428	10081	1668
429	10099	1644
430	10117	1619
431	10138	1595
432	10163	1572
433	10187	1549
434	10210	1525
435	10229	1501
436	10250	1477
437	10276	1454
438	10296	1430
439	10317	1406
440	10338	1383
441	10359	1359
442	10382	1335
443	10407	1312
444	10432	1289
445	10453	1265
446	10474	1241
447	10494	1218
448	10518	1194
449	10576	1175
450	10626	1154
451	10666	1132
452	10698	1109
453	10735	1087
454	10766	1064
455	10790	1041
456	10812	1017
457	10837	993
458	10859	970
459	10879	946
460	10898	922
461	10921	898
462	10943	874
463	10967	850
464	10987	827
465	11008	803
466	11047	780
467	11073	757
468	11095	733
469	11115	709
470	11138	685
471	11162	662
472	11183	638
473	11205	614
474	11228	590
475	11251	567
476	11273	543
477	11292	519
478	11313	495
479	11331	472
480	11349	448
481	11370	424
482	11388	400
483	11408	377
484	11428	353
485	11451	329
486	11475	306
487	11502	282
488	11526	259
489	11547	235
490	11569	212
491	11589	188
492	11611	164
493	11630	141
494	11650	117
495	11669	94
496	11689	70
497	11711	47
498	11735	23
499	11755	0
